gene_id	tissue_a	tissue_b	lnc_isi	n_aligned	n_random	p_deseq2_aligned	padj_deseq2_aligned	padj_edger_aligned	de_deseq2_aligned	de_edger_aligned	rand_tissue_a	rand_tissue_b	de_deseq2_random	de_edger_random	has_random	de_rank_aligned	de_rank_random
ENSG00000232774.7	Cells - Cultured fibroblasts	Liver	0.1472732405988596	15	15.0	0.713079873851976	0.821048340637092	0.911690786192441	False	False	Brain - Cerebellar Hemisphere	Cells - Cultured fibroblasts	True	True	True	False	True
ENSG00000232527.7	Cells - Cultured fibroblasts	Muscle - Skeletal	0.3941554228971293	16	16.0	6.71680568830896e-28	5.21935312603302e-26	1.49303522311583e-10	True	True	Heart - Left Ventricle	Muscle - Skeletal	True	True	True	True	True
ENSG00000170846.16	Cells - Cultured fibroblasts	Lung	0.4101242608640609	15	15.0	0.646997361924182	0.79774752843445	0.662170963517008	False	False	Brain - Putamen (basal ganglia)	Heart - Atrial Appendage	False	False	True	False	False
ENSG00000172965.14	Brain - Frontal Cortex (BA9)	Muscle - Skeletal	0.12138604872278	15	15.0	8.98111932140049e-06	3.67772838680495e-05	0.0013386874604757	True	True	Brain - Putamen (basal ganglia)	Heart - Atrial Appendage	True	True	True	False	True
ENSG00000177738.3	Brain - Frontal Cortex (BA9)	Muscle - Skeletal	0.3526466722094775	15	15.0	3.3474662318174004e-10	2.52431879776394e-09	6.08206345976019e-06	True	True	Brain - Putamen (basal ganglia)	Heart - Atrial Appendage	True	True	True	True	True
ENSG00000177337.7	Heart - Left Ventricle	Muscle - Skeletal	0.1213002423399463	16	16.0	0.0067157655570166	0.0257601799078528	0.0080354213466415	True	True	Liver	Lung	True	True	True	True	True
ENSG00000180769.8	Liver	Muscle - Skeletal	0.1838555698687678	17	17.0	1.9535170215539397e-11	2.4949203103846005e-10	8.56890665091195e-07	True	True	Brain - Cerebellar Hemisphere	Heart - Atrial Appendage	True	True	True	True	True
ENSG00000175611.11	Brain - Cerebellar Hemisphere	Cells - Cultured fibroblasts	0.164436931883358	15	15.0	1.75845951887284e-05	4.50769287114045e-05	0.0020976902174389	True	True	Cells - Cultured fibroblasts	Lung	False	False	True	True	False
ENSG00000176728.7	Brain - Cerebellar Hemisphere	Heart - Left Ventricle	0.2305926268593329	15	15.0	0.790878934688588	0.82882666727456	0.656839094231687	False	False	Brain - Frontal Cortex (BA9)	Heart - Atrial Appendage	False	False	True	False	False
ENSG00000177410.12	Brain - Frontal Cortex (BA9)	Cells - Cultured fibroblasts	0.0968731799742064	13	13.0	8.72528426416519e-16	1.85749528461064e-14	1.00364214060888e-06	True	True	Brain - Frontal Cortex (BA9)	Heart - Left Ventricle	False	True	True	True	False
ENSG00000185837.3	Brain - Cerebellar Hemisphere	Brain - Putamen (basal ganglia)	0.1557242609183093	14	14.0	1.52650032205979e-08	9.01962581599675e-08	3.56640167813047e-05	True	True	Brain - Frontal Cortex (BA9)	Lung	True	True	True	True	False
ENSG00000170919.15	Brain - Cerebellar Hemisphere	Heart - Left Ventricle	0.2369933351868216	15	15.0	6.1807326694075e-11	4.03065789246669e-10	1.68465719880342e-06	True	True	Heart - Left Ventricle	Lung	False	False	True	True	False
ENSG00000182109.7	Cells - Cultured fibroblasts	Muscle - Skeletal	0.2498880240297773	16	16.0	5.48165491853791e-07	3.26183159792278e-06	0.0001078064726227	True	True	Heart - Left Ventricle	Muscle - Skeletal	False	False	True	True	False
ENSG00000222041.10	Brain - Cerebellar Hemisphere	Liver	0.0624933871996901	16	16.0	1.7173630495233e-28	6.16442947249943e-27	1.05451845599838e-10	True	True	Heart - Left Ventricle	Muscle - Skeletal	True	True	True	True	True
ENSG00000189223.14	Brain - Putamen (basal ganglia)	Liver	0.6208916300203086	14	14.0	0.815380650797384	0.8790420738486	0.582942110518017	False	False	Brain - Putamen (basal ganglia)	Lung	True	True	True	False	False
ENSG00000182648.11	Heart - Left Ventricle	Liver	0.292058534152302	15	15.0	0.0101109464971601	0.0343874830106462	0.0803145150706913	True	False	Cells - Cultured fibroblasts	Lung	False	False	True	True	False
ENSG00000186594.14	Brain - Cerebellar Hemisphere	Muscle - Skeletal	0.1370501002520704	17	17.0	2.82677120485476e-31	6.94578067478597e-30	7.10381266285275e-11	True	True	Heart - Atrial Appendage	Lung	False	False	True	True	False
ENSG00000186615.10	Brain - Cerebellar Hemisphere	Heart - Left Ventricle	0.3570123477142327	15	15.0	0.19292341899917	0.247306921499828	0.328106398761345	False	False	Brain - Cerebellar Hemisphere	Cells - Cultured fibroblasts	True	True	True	False	True
ENSG00000249087.6	Brain - Frontal Cortex (BA9)	Liver	0.4074061043641027	14	14.0	5.03169704756582e-08	3.79312546662654e-07	1.81100336075337e-06	True	True	Cells - Cultured fibroblasts	Heart - Left Ventricle	False	False	True	False	False
ENSG00000196167.9	Brain - Cerebellar Hemisphere	Heart - Left Ventricle	0.4289829736055594	15	15.0	0.681426583346841	0.737140706513564	0.630730069756908	False	False	Brain - Putamen (basal ganglia)	Heart - Atrial Appendage	True	True	True	False	True
ENSG00000196295.11	Brain - Putamen (basal ganglia)	Cells - Cultured fibroblasts	0.2174334124749141	13	13.0	0.125072915459271	0.182682297235657	0.254166553075527	False	False	Brain - Frontal Cortex (BA9)	Heart - Left Ventricle	False	False	True	False	False
ENSG00000198468.7	Brain - Cerebellar Hemisphere	Heart - Left Ventricle	0.2297700741602996	15	15.0	0.0006963292115542	0.0015759029524649	0.0114203707975684	True	True	Brain - Putamen (basal ganglia)	Heart - Atrial Appendage	False	False	True	True	False
ENSG00000236882.7	Liver	Muscle - Skeletal	0.0723569036104631	17		1.37352307854184e-38	2.6312777833208697e-36	5.39337143250455e-12	True	True			False	False	False	True	
ENSG00000174365.19	Heart - Left Ventricle	Liver	0.3415024631461388	15	15.0	0.0002341770056474	0.0012210007298348	0.0067361382084999	True	True	Brain - Cerebellar Hemisphere	Heart - Left Ventricle	True	True	True	True	False
ENSG00000182165.17	Brain - Cerebellar Hemisphere	Heart - Left Ventricle	0.0771750702801241	15	15.0	5.65563766614323e-33	2.7793419387903903e-31	4.88137485060232e-09	True	True	Heart - Left Ventricle	Lung	False	False	True	True	False
ENSG00000251301.6	Heart - Atrial Appendage	Lung	0.5890159616810482	17	15.0	9.553783081468132e-15	1.74291988648405e-13	2.62832558022724e-07	True	True	Cells - Cultured fibroblasts	Lung	False	False	True	True	False
ENSG00000197182.14	Brain - Putamen (basal ganglia)	Muscle - Skeletal	0.5201752040585867	15	15.0	0.895197442674481	0.933678780707999	0.700628763245585	False	False	Brain - Putamen (basal ganglia)	Heart - Atrial Appendage	False	False	True	False	False
ENSG00000256925.2	Brain - Cerebellar Hemisphere	Brain - Frontal Cortex (BA9)	0.0360082486461007	14		7.57397488944341e-07	4.74242005692214e-06	3.37070626343615e-05	True	True			False	False	False	False	
ENSG00000228010.5	Brain - Putamen (basal ganglia)	Heart - Atrial Appendage	0.1830515116797931	15	14.0	0.154200966652696	0.222287614767613	0.283694782327542	False	False	Brain - Cerebellar Hemisphere	Brain - Putamen (basal ganglia)	False	False	True	False	False
ENSG00000231312.6	Brain - Cerebellar Hemisphere	Lung	0.4553399372042381	16	16.0	1.86905657727571e-07	5.52678020162173e-07	0.0002522539216403	True	True	Heart - Left Ventricle	Muscle - Skeletal	False	False	True	True	False
ENSG00000179818.13	Brain - Putamen (basal ganglia)	Liver	0.2472618738648133	14	14.0	3.73826558261578e-07	1.98070118272704e-06	0.0086944578417984	True	True	Brain - Frontal Cortex (BA9)	Lung	True	True	True	True	True
ENSG00000240401.8	Brain - Frontal Cortex (BA9)	Heart - Left Ventricle	0.7217278114374961	13	14.0	0.394111725484574	0.528686461015892	0.50696477464973	False	False	Brain - Frontal Cortex (BA9)	Lung	False	False	True	False	False
ENSG00000234912.11	Brain - Frontal Cortex (BA9)	Heart - Left Ventricle	0.1945174670289837	13	13.0	3.53461409739003e-06	2.22940109353729e-05	3.6530615354102e-05	True	True	Brain - Putamen (basal ganglia)	Cells - Cultured fibroblasts	True	False	True	True	False
ENSG00000223482.7	Brain - Frontal Cortex (BA9)	Liver	0.1673982362166119	14	14.0	1.00597685474349e-10	1.38020024470807e-09	1.85160162341729e-05	True	True	Brain - Cerebellar Hemisphere	Brain - Putamen (basal ganglia)	False	False	True	True	False
ENSG00000233452.6	Brain - Cerebellar Hemisphere	Brain - Putamen (basal ganglia)	0.1202238855297553	14	14.0	4.17265403802812e-09	2.62529483225936e-08	6.20308236247998e-06	True	True	Brain - Cerebellar Hemisphere	Brain - Frontal Cortex (BA9)	True	True	True	True	False
ENSG00000213057.5	Brain - Cerebellar Hemisphere	Cells - Cultured fibroblasts	0.154184206341979	15		0.0004258712386767	0.0008605104146203	0.0073755109726623	True	True			False	False	False	True	
ENSG00000203875.10	Brain - Cerebellar Hemisphere	Heart - Left Ventricle	0.2952516735888718	15	15.0	1.6529441697002602e-31	7.3209536342637e-30	4.54498036421176e-11	True	True	Brain - Cerebellar Hemisphere	Cells - Cultured fibroblasts	True	True	True	True	True
