gene_id	switch_sig	padj_deseq2	padj_edger	gene_de_kw	gene_de_deseq2	gene_de_edger	visibility_kw	visibility_deseq2	visibility_edger
ENSG00000232774.7	True	1.8336392452601698e-11	8.50885875340663e-08	True	True	True	visible	visible	visible
ENSG00000231607.10	False	2.65472931009526e-12	4.62410676654793e-08	True	True	True	gene_only	gene_only	gene_only
ENSG00000149656.8	False	1.2520182012490902e-15	9.931393058448861e-15	True	True	True	gene_only	gene_only	gene_only
ENSG00000161149.12	False	2.48222421882274e-58	3.17023666053676e-27	True	True	True	gene_only	gene_only	gene_only
ENSG00000232527.7	True	1.74138095160717e-66	1.44321793541461e-25	True	True	True	visible	visible	visible
ENSG00000163364.9	False	2.5455706682769197e-70	7.56809007801525e-32	True	True	True	gene_only	gene_only	gene_only
ENSG00000215241.3	False	4.43651177996796e-25	2.7926213430897202e-15	True	True	True	gene_only	gene_only	gene_only
ENSG00000170161.6	False	0.0159497936011715	0.005754413944139	False	True	True	none	gene_only	gene_only
ENSG00000170846.16	True	0.0038705406269167	0.0054052218310651	True	True	True	visible	visible	visible
ENSG00000172965.14	True	8.14661428225639e-65	4.9319642193502696e-26	True	True	True	visible	visible	visible
ENSG00000174171.5	False	9.851636464867821e-61	9.125068381005889e-30	True	True	True	gene_only	gene_only	gene_only
ENSG00000272752.6	False	1.9374928493674498e-36	2.7824955132391597e-18	True	True	True	gene_only	gene_only	gene_only
ENSG00000179136.6	False	4.40771037350955e-08	6.12002250298494e-08	True	True	True	gene_only	gene_only	gene_only
ENSG00000179523.4	False	1.06645761417656e-24	8.31697819946869e-13	True	True	True	gene_only	gene_only	gene_only
ENSG00000176593.7	False	1.3766072264697499e-34	1.4660818736758e-17	True	True	True	gene_only	gene_only	gene_only
ENSG00000177738.3	True	6.34530511100222e-57	3.65863447436863e-24	True	True	True	visible	visible	visible
ENSG00000177337.7	True	4.08155134125317e-28	2.3144609241494498e-16	True	True	True	visible	visible	visible
ENSG00000176840.11	False	1.4828859132698602e-23	8.797206927669999e-25	True	True	True	gene_only	gene_only	gene_only
ENSG00000180769.8	True	1.8349443157900802e-20	4.773712567378399e-12	True	True	True	visible	visible	visible
ENSG00000177406.4	False	7.65893473241923e-09	6.49627441047242e-07	True	True	True	gene_only	gene_only	gene_only
ENSG00000177133.10	False	7.69225052186932e-46	1.92794426441084e-23	True	True	True	gene_only	gene_only	gene_only
ENSG00000175611.11	True	9.07674484752435e-18	6.08516845701622e-10	True	True	True	visible	visible	visible
ENSG00000214184.3	False	6.78370852859139e-05	0.0003871297380133	False	True	True	none	gene_only	gene_only
ENSG00000242791.2	False	2.39678308533407e-26	2.52187937132321e-16	False	True	True	none	gene_only	gene_only
ENSG00000176912.3	False	1.3873550272907301e-37	2.9696127235661904e-23	True	True	True	gene_only	gene_only	gene_only
ENSG00000176728.7	True	0.307606778467522	0.0020798989510031	True	False	True	visible	silent	visible
ENSG00000178803.10	False	8.86196111638944e-97	2.19105444567554e-32	True	True	True	gene_only	gene_only	gene_only
ENSG00000177410.12	True	4.27601973973435e-89	3.84530630113295e-27	True	True	True	visible	visible	visible
ENSG00000185837.3	True	6.55425214820546e-22	1.02726047064977e-13	True	True	True	visible	visible	visible
ENSG00000183250.11	False	1.78622267460233e-07	2.20858423425331e-05	False	True	True	none	gene_only	gene_only
ENSG00000170919.15	True	1.0409072682737001e-16	2.8020109319987903e-09	True	True	True	visible	visible	visible
ENSG00000185847.7	False	2.21819667296443e-34	6.71673653136448e-27	False	True	True	none	gene_only	gene_only
ENSG00000182109.7	True	2.2387252040986604e-19	1.6925205354174299e-12	True	True	True	visible	visible	visible
ENSG00000222041.10	True	3.20393261139141e-69	3.42621964224973e-27	True	True	True	visible	visible	visible
ENSG00000185168.5	False	2.2469059788622302e-15	6.38747162479245e-12	False	True	True	none	gene_only	gene_only
ENSG00000183308.6	False	1.34673795394305e-35	1.02756609605292e-21	False	True	True	none	gene_only	gene_only
ENSG00000189223.14	True	4.48757137797484e-24	1.29678167461829e-16	True	True	True	visible	visible	visible
ENSG00000182648.11	True	7.26631105716911e-07	7.27440615333424e-05	True	True	True	visible	visible	visible
ENSG00000182873.5	False	2.8845972937749604e-17	5.43622664999501e-13	True	True	True	gene_only	gene_only	gene_only
ENSG00000186594.14	True	1.46212515758944e-48	1.2218677366239002e-21	True	True	True	visible	visible	visible
ENSG00000186615.10	True	9.77059446939645e-19	4.7664472188172594e-11	True	True	True	visible	visible	visible
ENSG00000228463.9	False	1.29189616891728e-06	8.68423931833407e-05	True	True	True	gene_only	gene_only	gene_only
ENSG00000249087.6	True	1.5243041322253e-18	2.05907409941491e-13	True	True	True	visible	visible	visible
ENSG00000204588.5	False	3.2051653192105398e-12	2.2981176292658896e-11	False	True	True	none	gene_only	gene_only
ENSG00000270580.5	False	3.03745207079011e-09	2.62074831857311e-07	True	True	True	gene_only	gene_only	gene_only
ENSG00000188185.11	False	1.06645391173069e-18	1.80581680162977e-14	True	True	True	gene_only	gene_only	gene_only
ENSG00000188825.13	False	6.7289412523698895e-12	4.49748088432784e-07	True	True	True	gene_only	gene_only	gene_only
ENSG00000188242.4	False	1.57663074914239e-16	4.25387026624686e-08	True	True	True	gene_only	gene_only	gene_only
ENSG00000188511.12	False	2.61127382011552e-27	1.12716004398987e-17	True	True	True	gene_only	gene_only	gene_only
ENSG00000232110.7	False	1.26905724504948e-28	1.1448374695401e-20	True	True	True	gene_only	gene_only	gene_only
ENSG00000196167.9	True	1.83339959644588e-46	4.8615822571753404e-23	True	True	True	visible	visible	visible
ENSG00000196295.11	True	4.70251929911706e-07	7.27485072284327e-05	True	True	True	visible	visible	visible
ENSG00000198468.7	True	0.00147070132723	0.0023315242599526	False	True	True	silent	visible	visible
ENSG00000197934.8	False	4.67817456147685e-06	1.98832840284823e-05	False	True	True	none	gene_only	gene_only
ENSG00000236882.7	True	5.31225147039598e-155	1.1928929203781402e-44	True	True	True	visible	visible	visible
ENSG00000174365.19	True	2.44952334031018e-06	0.0001903017189662	True	True	True	visible	visible	visible
ENSG00000198221.8	False	1.73800342276435e-12	7.84996761412818e-11	False	True	True	none	gene_only	gene_only
ENSG00000182165.17	True	7.22553043404372e-45	4.5318411204113396e-18	True	True	True	visible	visible	visible
ENSG00000251301.6	True	1.4299044087813802e-44	1.3699159927688601e-24	True	True	True	visible	visible	visible
ENSG00000197182.14	True	1.5067125097874601e-19	2.40589566555751e-13	True	True	True	visible	visible	visible
ENSG00000242687.2	False	3.04073624966918e-08	6.91338370320497e-05	True	True	True	gene_only	gene_only	gene_only
ENSG00000256925.2	True	1.89606210708262e-59	1.15050392276196e-22	False	True	True	silent	visible	visible
ENSG00000234222.6	False	0.373239194908974	0.402785389904037	False	False	False	none	none	none
