gene_id	n_isoforms	n_valid_tissues	lnc_isi
ENSG00000232774.7	3	9	0.1472732405988596
ENSG00000231607.10	8	9	0.22726588970697464
ENSG00000149656.8	3	2	0.0034809493032001994
ENSG00000161149.12	2	2	0.0016830594934513525
ENSG00000232527.7	4	8	0.39415542289712935
ENSG00000163364.9	2	5	0.054109245558811137
ENSG00000215241.3	3	4	0.07964628406462311
ENSG00000170161.6	3	4	0.3162927113515316
ENSG00000170846.16	3	8	0.4101242608640609
ENSG00000172965.14	20	9	0.12138604816180046
ENSG00000174171.5	4	3	0.008544941984683078
ENSG00000272752.6	4	9	0.038328892937693884
ENSG00000179136.6	3	4	0.08542854756972759
ENSG00000179523.4	5	9	0.060636932603534574
ENSG00000176593.7	5	8	0.0695896509173822
ENSG00000177738.3	3	8	0.35264667220947754
ENSG00000177337.7	6	9	0.12130023549214577
ENSG00000176840.11	10	3	0.02914749651950966
ENSG00000180769.8	3	9	0.18385558022781845
ENSG00000177406.4	3	7	0.32210410938504863
ENSG00000177133.10	6	4	0.2491703867637472
ENSG00000175611.11	6	9	0.16443693818413535
ENSG00000214184.3	2	3	0.036567999689595954
ENSG00000242791.2	2	2	0.0005938821133191635
ENSG00000176912.3	2	7	0.001134715160840273
ENSG00000176728.7	6	9	0.23059262252110296
ENSG00000178803.10	2	2	0.0055232359451418064
ENSG00000177410.12	10	9	0.09687318339427647
ENSG00000185837.3	2	5	0.15572426091830932
ENSG00000183250.11	3	8	0.0927254658918751
ENSG00000170919.15	19	9	0.23699333514880894
ENSG00000185847.7	4	2	0.017328537914985676
ENSG00000182109.7	7	9	0.24988801944195999
ENSG00000222041.10	13	9	0.06249338719969015
ENSG00000185168.5	2	3	0.0168704455247052
ENSG00000183308.6	2	2	0.00464122937335416
ENSG00000189223.14	19	8	0.6208916619231775
ENSG00000182648.11	7	9	0.2920585341523021
ENSG00000182873.5	2	3	0.07413129736367366
ENSG00000186594.14	19	9	0.13705008416141584
ENSG00000186615.10	3	7	0.35701234748140204
ENSG00000228463.9	5	8	0.2475486424152954
ENSG00000249087.6	6	9	0.407406102823847
ENSG00000204588.5	2	2	0.08530006855971922
ENSG00000270580.5	2	6	0.049859008350354395
ENSG00000188185.11	2	6	0.001955882109148886
ENSG00000188825.13	6	9	0.09540558284644032
ENSG00000188242.4	4	9	0.003559600085930452
ENSG00000188511.12	6	3	0.0638359205923768
ENSG00000232110.7	3	4	0.03351460301540003
ENSG00000196167.9	4	7	0.4289829736055594
ENSG00000196295.11	28	9	0.21743342116470352
ENSG00000198468.7	3	9	0.22977008226516446
ENSG00000197934.8	2	2	0.007856875622179404
ENSG00000236882.7	3	2	0.0723569036104631
ENSG00000174365.19	13	9	0.3415024466917819
ENSG00000198221.8	3	5	0.07327710187600969
ENSG00000182165.17	6	9	0.07717507875725763
ENSG00000251301.6	7	3	0.5890159616810482
ENSG00000197182.14	4	8	0.5201752040585867
ENSG00000242687.2	3	7	0.14612965259319124
ENSG00000256925.2	2	2	0.0360082486461007
ENSG00000234222.6	14	5	0.3232619722050424
ENSG00000203279.3	2	5	0.05718896746631085
ENSG00000228010.5	3	3	0.18305151167979317
ENSG00000231312.6	11	9	0.45533997118849323
ENSG00000249684.5	4	4	0.18653989092070017
ENSG00000179818.13	113	9	0.2472618551804996
ENSG00000240401.8	20	6	0.7217278114374961
ENSG00000203506.5	5	2	0.05898779665491646
ENSG00000234912.11	4	9	0.19451747254765483
ENSG00000235257.8	16	9	0.2241275249022766
ENSG00000223482.7	12	9	0.1673982599830764
ENSG00000146521.9	2	2	0.0031087829817168997
ENSG00000225511.6	8	3	0.09395397265123438
ENSG00000233452.6	8	4	0.12022387386107386
ENSG00000213057.5	2	2	0.15418420634197905
ENSG00000203739.3	2	8	0.09110463515839523
ENSG00000203808.10	3	3	0.0003497547605463393
ENSG00000203865.9	4	8	0.0711877842516779
ENSG00000203875.10	22	9	0.2952516877369731
ENSG00000203876.9	5	5	0.1853749690815209
ENSG00000174407.13	2	3	0.006696999457965302
ENSG00000203930.10	5	5	0.7847291904708131
ENSG00000203987.2	2	2	0.05791426188680177
ENSG00000203993.4	3	9	0.06433614535301271
ENSG00000203999.8	2	4	0.06703667186883519
ENSG00000226711.6	8	5	0.141961904340611
ENSG00000204055.4	2	3	0.007617473340102057
ENSG00000125804.13	4	3	0.002499890811289928
ENSG00000204706.14	7	2	0.2012249768227565
ENSG00000204792.2	3	4	0.1533893119471008
ENSG00000204802.3	4	9	0.14011750096899855
ENSG00000204860.4	3	7	0.018954078027658063
ENSG00000204929.12	5	6	0.3274862030541493
ENSG00000168405.15	8	9	0.22589064656803787
ENSG00000205037.2	2	3	0.11932228355155816
ENSG00000205181.5	2	6	0.0
ENSG00000120664.10	3	2	0.023603351313150292
ENSG00000234449.2	3	5	0.03744152531925281
ENSG00000237945.7	14	6	0.1963416769515835
ENSG00000205696.4	2	3	0.020091101847009095
ENSG00000205740.2	2	2	0.008174939452847658
ENSG00000248932.5	7	9	0.17103051019300974
ENSG00000205885.7	4	6	0.08732415082625708
ENSG00000237975.6	7	4	0.2912453816355542
ENSG00000205913.6	5	3	0.3185304376360112
ENSG00000205930.8	5	7	0.15354016769765094
ENSG00000206187.3	2	2	0.0
ENSG00000206195.10	5	2	0.03556839253998187
ENSG00000206417.8	4	6	0.13555990570426113
ENSG00000206567.9	5	4	0.08343223171419116
ENSG00000203288.3	2	5	0.029546469433114224
ENSG00000224043.7	3	5	0.37072830238108556
ENSG00000233175.2	2	3	0.08850376824139017
ENSG00000247498.9	8	3	0.06607239004386102
ENSG00000227540.1	3	9	0.2905101167717291
ENSG00000177335.10	7	6	0.30776606371246473
ENSG00000224281.4	4	5	0.2194083731911903
ENSG00000220575.7	2	3	0.001367468472764805
ENSG00000236432.7	3	5	0.19125661008102124
ENSG00000213963.6	8	7	0.38758643658854874
ENSG00000232807.2	3	9	0.2196065057397697
ENSG00000214049.6	2	4	0.0
ENSG00000214106.7	3	9	0.3968841873599069
ENSG00000214293.8	5	9	0.06701537396668192
ENSG00000214353.7	2	3	0.023333086845903482
ENSG00000214401.4	3	9	0.030825542639066082
ENSG00000214548.14	25	9	0.551285125031127
ENSG00000236200.5	5	3	0.09405251379885124
ENSG00000214719.11	5	8	0.18943276394746833
ENSG00000214900.9	15	9	0.7131551488943686
ENSG00000214922.9	3	9	0.07291869875217434
ENSG00000186960.10	4	2	0.026620364367825607
ENSG00000215022.7	3	3	0.05381547867059423
ENSG00000215039.6	9	9	0.09084656236088295
ENSG00000215067.9	9	9	0.1838601358469492
ENSG00000215068.7	5	5	0.28169558781388715
ENSG00000215256.3	6	9	0.19016077627810388
ENSG00000215386.11	17	9	0.46204439038116485
