gene_id	tissueA	tissueB	dom_isoform_A	dom_isoform_B	alt_tss	alt_tes	alt_splicing	category	multi
ENSG00000223891.5	Brain - Cerebellar Hemisphere	Brain - Frontal Cortex (BA9)	ENST00000442383.1	ENST00000439943.5	True	False	True	alt_TSS	True
ENSG00000223891.5	Brain - Cerebellar Hemisphere	Brain - Putamen (basal ganglia)	ENST00000442383.1	ENST00000439943.5	True	False	True	alt_TSS	True
ENSG00000223891.5	Brain - Frontal Cortex (BA9)	Cells - Cultured fibroblasts	ENST00000439943.5	ENST00000442383.1	True	False	True	alt_TSS	True
ENSG00000223891.5	Brain - Frontal Cortex (BA9)	Heart - Atrial Appendage	ENST00000439943.5	ENST00000442383.1	True	False	True	alt_TSS	True
ENSG00000223891.5	Brain - Frontal Cortex (BA9)	Heart - Left Ventricle	ENST00000439943.5	ENST00000442383.1	True	False	True	alt_TSS	True
ENSG00000223891.5	Brain - Frontal Cortex (BA9)	Liver	ENST00000439943.5	ENST00000442383.1	True	False	True	alt_TSS	True
ENSG00000223891.5	Brain - Frontal Cortex (BA9)	Lung	ENST00000439943.5	ENST00000442383.1	True	False	True	alt_TSS	True
ENSG00000223891.5	Brain - Frontal Cortex (BA9)	Muscle - Skeletal	ENST00000439943.5	ENST00000442383.1	True	False	True	alt_TSS	True
ENSG00000223891.5	Brain - Putamen (basal ganglia)	Cells - Cultured fibroblasts	ENST00000439943.5	ENST00000442383.1	True	False	True	alt_TSS	True
ENSG00000223891.5	Brain - Putamen (basal ganglia)	Heart - Atrial Appendage	ENST00000439943.5	ENST00000442383.1	True	False	True	alt_TSS	True
ENSG00000223891.5	Brain - Putamen (basal ganglia)	Heart - Left Ventricle	ENST00000439943.5	ENST00000442383.1	True	False	True	alt_TSS	True
ENSG00000223891.5	Brain - Putamen (basal ganglia)	Liver	ENST00000439943.5	ENST00000442383.1	True	False	True	alt_TSS	True
ENSG00000223891.5	Brain - Putamen (basal ganglia)	Lung	ENST00000439943.5	ENST00000442383.1	True	False	True	alt_TSS	True
ENSG00000223891.5	Brain - Putamen (basal ganglia)	Muscle - Skeletal	ENST00000439943.5	ENST00000442383.1	True	False	True	alt_TSS	True
ENSG00000247081.7	Brain - Cerebellar Hemisphere	Cells - Cultured fibroblasts	ENST00000500902.1	ENST00000522856.1	True	True	True	alt_TSS	True
ENSG00000247081.7	Brain - Frontal Cortex (BA9)	Cells - Cultured fibroblasts	ENST00000500902.1	ENST00000522856.1	True	True	True	alt_TSS	True
ENSG00000247081.7	Brain - Putamen (basal ganglia)	Cells - Cultured fibroblasts	ENST00000500902.1	ENST00000522856.1	True	True	True	alt_TSS	True
ENSG00000247095.2	Brain - Cerebellar Hemisphere	Brain - Frontal Cortex (BA9)	ENST00000533920.1	ENST00000500447.1	True	True	True	alt_TSS	True
