gene_id	switch_sig	visibility_kw	visibility_deseq2	visibility_edger
ENSG00000232774.7	True	visible	visible	visible
ENSG00000231607.10	False	gene_only	gene_only	gene_only
ENSG00000149656.8	False	gene_only	gene_only	gene_only
ENSG00000161149.12	False	gene_only	gene_only	gene_only
ENSG00000232527.7	True	visible	visible	visible
ENSG00000163364.9	False	gene_only	gene_only	gene_only
ENSG00000215241.3	False	gene_only	gene_only	gene_only
ENSG00000170161.6	False	none	gene_only	gene_only
ENSG00000170846.16	True	visible	visible	visible
ENSG00000172965.14	True	visible	visible	visible
ENSG00000174171.5	False	gene_only	gene_only	gene_only
ENSG00000272752.6	False	gene_only	gene_only	gene_only
ENSG00000179136.6	False	gene_only	gene_only	gene_only
ENSG00000179523.4	False	gene_only	gene_only	gene_only
ENSG00000176593.7	False	gene_only	gene_only	gene_only
ENSG00000177738.3	True	visible	visible	visible
ENSG00000177337.7	True	visible	visible	visible
ENSG00000176840.11	False	gene_only	gene_only	gene_only
ENSG00000180769.8	True	visible	visible	visible
ENSG00000177406.4	False	gene_only	gene_only	gene_only
ENSG00000177133.10	False	gene_only	gene_only	gene_only
ENSG00000175611.11	True	visible	visible	visible
ENSG00000214184.3	False	none	gene_only	gene_only
ENSG00000242791.2	False	none	gene_only	gene_only
ENSG00000176912.3	False	gene_only	gene_only	gene_only
ENSG00000176728.7	True	visible	silent	visible
ENSG00000178803.10	False	gene_only	gene_only	gene_only
ENSG00000177410.12	True	visible	visible	visible
ENSG00000185837.3	True	visible	visible	visible
ENSG00000183250.11	False	none	gene_only	gene_only
ENSG00000170919.15	True	visible	visible	visible
ENSG00000185847.7	False	none	gene_only	gene_only
ENSG00000182109.7	True	visible	visible	visible
ENSG00000222041.10	True	visible	visible	visible
ENSG00000185168.5	False	none	gene_only	gene_only
ENSG00000183308.6	False	none	gene_only	gene_only
ENSG00000189223.14	True	visible	visible	visible
ENSG00000182648.11	True	visible	visible	visible
ENSG00000182873.5	False	gene_only	gene_only	gene_only
ENSG00000186594.14	True	visible	visible	visible
ENSG00000186615.10	True	visible	visible	visible
ENSG00000228463.9	False	gene_only	gene_only	gene_only
ENSG00000249087.6	True	visible	visible	visible
ENSG00000204588.5	False	none	gene_only	gene_only
ENSG00000270580.5	False	gene_only	gene_only	gene_only
ENSG00000188185.11	False	gene_only	gene_only	gene_only
ENSG00000188825.13	False	gene_only	gene_only	gene_only
ENSG00000188242.4	False	gene_only	gene_only	gene_only
ENSG00000188511.12	False	gene_only	gene_only	gene_only
ENSG00000232110.7	False	gene_only	gene_only	gene_only
ENSG00000196167.9	True	visible	visible	visible
ENSG00000196295.11	True	visible	visible	visible
ENSG00000198468.7	True	silent	visible	visible
ENSG00000197934.8	False	none	gene_only	gene_only
ENSG00000236882.7	True	visible	visible	visible
ENSG00000174365.19	True	visible	visible	visible
ENSG00000198221.8	False	none	gene_only	gene_only
ENSG00000182165.17	True	visible	visible	visible
ENSG00000251301.6	True	visible	visible	visible
ENSG00000197182.14	True	visible	visible	visible
ENSG00000242687.2	False	gene_only	gene_only	gene_only
ENSG00000256925.2	True	silent	visible	visible
ENSG00000234222.6	False	none	none	none
ENSG00000203279.3	False	gene_only	gene_only	gene_only
ENSG00000228010.5	True	visible	visible	visible
ENSG00000231312.6	True	visible	visible	visible
ENSG00000249684.5	False	gene_only	gene_only	gene_only
ENSG00000179818.13	True	visible	visible	visible
ENSG00000240401.8	True	silent	visible	visible
ENSG00000203506.5	False	none	gene_only	gene_only
ENSG00000234912.11	True	visible	visible	visible
ENSG00000235257.8	False	gene_only	gene_only	gene_only
ENSG00000223482.7	True	visible	visible	visible
ENSG00000146521.9	False	gene_only	gene_only	gene_only
ENSG00000225511.6	False	gene_only	gene_only	gene_only
ENSG00000233452.6	True	visible	visible	visible
ENSG00000213057.5	True	visible	visible	visible
ENSG00000203739.3	False	gene_only	gene_only	gene_only
ENSG00000203808.10	False	gene_only	gene_only	gene_only
ENSG00000203865.9	False	gene_only	gene_only	gene_only
ENSG00000203875.10	True	visible	visible	visible
ENSG00000203876.9	True	visible	visible	visible
ENSG00000174407.13	False	gene_only	gene_only	gene_only
ENSG00000203930.10	True	visible	visible	visible
ENSG00000203987.2	False	gene_only	gene_only	gene_only
