gene_id	lnc_isi	gene_de	switch_sig	visibility	n_expr	small_perm
ENSG00000232774.7	0.1472732405988596	True	True	visible	67	False
ENSG00000231607.10	0.22726588970697464	True	False	gene_only	55	False
ENSG00000149656.8	0.0034809493032001994	True	False	gene_only	11	False
ENSG00000161149.12	0.0016830594934513525	True	False	gene_only	12	False
ENSG00000232527.7	0.39415542289712935	True	True	visible	54	False
ENSG00000163364.9	0.054109245558811137	True	False	gene_only	28	False
ENSG00000215241.3	0.07964628406462311	True	False	gene_only	22	False
ENSG00000170161.6	0.3162927113515316	False	False	none	18	False
ENSG00000170846.16	0.4101242608640609	True	True	visible	48	False
ENSG00000172965.14	0.12138604816180046	True	True	visible	68	False
ENSG00000174171.5	0.008544941984683078	True	False	gene_only	23	False
ENSG00000272752.6	0.038328892937693884	True	False	gene_only	67	False
ENSG00000179136.6	0.08542854756972759	True	False	gene_only	23	False
ENSG00000179523.4	0.060636932603534574	True	False	gene_only	66	False
ENSG00000176593.7	0.0695896509173822	True	False	gene_only	50	False
ENSG00000177738.3	0.35264667220947754	True	True	visible	53	False
ENSG00000177337.7	0.12130023549214577	True	True	visible	67	False
ENSG00000176840.11	0.02914749651950966	True	False	gene_only	19	False
ENSG00000180769.8	0.18385558022781845	True	True	visible	62	False
ENSG00000177406.4	0.32210410938504863	True	False	gene_only	32	False
ENSG00000177133.10	0.2491703867637472	True	False	gene_only	20	False
ENSG00000175611.11	0.16443693818413535	True	True	visible	67	False
ENSG00000214184.3	0.036567999689595954	False	False	none	10	False
ENSG00000242791.2	0.0005938821133191635	False	False	none	13	False
ENSG00000176912.3	0.001134715160840273	True	False	gene_only	41	False
ENSG00000176728.7	0.23059262252110296	True	True	visible	41	False
ENSG00000178803.10	0.0055232359451418064	True	False	gene_only	11	False
ENSG00000177410.12	0.09687318339427647	True	True	visible	68	False
ENSG00000185837.3	0.15572426091830932	True	True	visible	27	False
ENSG00000183250.11	0.0927254658918751	False	False	none	39	False
ENSG00000170919.15	0.23699333514880894	True	True	visible	67	False
ENSG00000185847.7	0.017328537914985676	False	False	none	16	False
ENSG00000182109.7	0.24988801944195999	True	True	visible	61	False
ENSG00000222041.10	0.06249338719969015	True	True	visible	67	False
ENSG00000185168.5	0.0168704455247052	False	False	none	13	False
ENSG00000183308.6	0.00464122937335416	False	False	none	14	False
ENSG00000189223.14	0.6208916619231775	True	True	visible	50	False
ENSG00000182648.11	0.2920585341523021	True	True	visible	67	False
ENSG00000182873.5	0.07413129736367366	True	False	gene_only	15	False
ENSG00000186594.14	0.13705008416141584	True	True	visible	68	False
ENSG00000186615.10	0.35701234748140204	True	True	visible	47	False
ENSG00000228463.9	0.2475486424152954	True	False	gene_only	47	False
ENSG00000249087.6	0.407406102823847	True	True	visible	47	False
ENSG00000204588.5	0.08530006855971922	False	False	none	9	True
ENSG00000270580.5	0.049859008350354395	True	False	gene_only	37	False
ENSG00000188185.11	0.001955882109148886	True	False	gene_only	24	False
ENSG00000188825.13	0.09540558284644032	True	False	gene_only	64	False
